Generation,Average Fitness 1,Average Fitness 2,Average Fitness 3 ,Average Fitness 4 ,Average Fitness 5,Mean Average Fitness,,,Generation,Highest Fitness 1,Highest Fitness 2,Highest Fitness 3,Highest Fitness 4,Highest Fitness 5,Mean Highest Fitness,
0,4.874,3.317,3.315,3.155,3.358,3.6038,0.714301547,,0,114,10,17.7,18.3,9.5,33.9,44.96771064
1,8.94,7.622,10.106,4.06,4.572,7.06,2.660756659,,1,151.8,175.1,252.6,18.7,26.5,124.94,100.6378805
2,30.195,12.957,41.054,6.212,9.682,20.02,14.94473869,,2,995.9,400.4,1705.4,18.1,296.1,683.18,673.5826579
3,41.556,7.666,27.977,10.068,15.135,20.4804,14.15609541,,3,1718.9,35.1,1061.7,44.6,601.6,692.38,715.8941102
4,101.003,15.263,31.512,9.679,22.662,36.0238,37.23657401,,4,3591,365.7,1009.6,52.9,1244.4,1252.72,1392.219669
5,100.011,22.75,11.622,51.036,53.569,47.7976,34.30048007,,5,5348.4,835.4,226.4,1427.1,1548.9,1877.24,2010.60241
6,34.767,12.598,10.358,16.054,81.772,31.1098,29.91669549,,6,1523.5,191.7,191.7,226.5,2419.3,910.54,1019.000652
7,26.713,24.234,24.406,51.739,54.007,36.2198,15.25479081,,7,522.3,705.8,1357.4,2184.6,1975.8,1349.18,739.6477418
8,119.231,40.76,62.46,41.921,78.048,68.484,32.31574626,,8,7151.6,2956.1,1375,1189.7,3967.5,3327.98,2426.608884
9,32.074,49.729,15.923,45.012,38.21,36.1896,13.16154768,,9,922.5,2105.6,191.7,801.4,2201.4,1244.52,875.437072
10,35.812,26.729,45.391,103.334,74.98,57.2492,31.50334553,,10,905,357.5,1696.8,3610.8,2366.6,1787.34,1273.941945
11,9.852,121.138,32.136,102.342,52.148,63.5232,46.96145659,,11,88.1,3893,435.4,1418.4,1087.2,1384.42,1496.959626
12,16.725,47.7,59.705,94.732,111.839,66.1402,37.84569366,,12,297.1,2045.6,4176.7,6177.3,2958.3,3131,2214.291074
13,26.226,87.94,84.242,132.817,159.272,98.0994,51.0108452,,13,610.1,1096.6,3175.8,3602.1,5498.7,2796.66,1985.242399
14,26.126,52.744,21.268,106.456,23.518,46.0224,36.09880534,,14,366.2,1114,548.9,2558,139.6,945.34,970.940682
15,63.599,100.285,62.53131313,112.844,54.821,78.81606263,25.93901928,,15,678.9,4125.2,1895.7,2793.9,1476.9,2194.12,1321.756094
16,59.49191919,151.731,75.56,113.709,162.803,112.6589838,45.40159332,,16,1275,2797.6,2233.9,2158,3107.2,2314.34,702.3723428
17,148.1545455,106.387,69.18383838,38.54040404,59.755,84.40415758,43.27262498,,17,2187.6,2654.9,992,1026.9,2628.7,1898.02,832.2168389
18,209.7969697,49.937,153.905,65.097,61.047,107.9565939,70.50965578,,18,6003.2,758.5,4533.8,1419.4,2071.6,2957.3,2221.89004
19,41.48484848,141.831,22.342,78.21,40.92,64.9575697,47.513186,,19,1009.6,3776,418.8,2199,1114.7,1703.62,1324.708757
20,73.546,245.73,153.945,124.7415842,24.864,124.5653168,83.79648049,,20,1609.8,4890.4,3341.6,4215.9,235.3,2858.6,1913.437212
21,178.836,113.6594059,28.044,56.104,34.95,82.31868119,63.58965392,,21,2827.9,4306.8,1364,2157.8,1088.7,2349.04,1290.103152
22,63.666,170.1623762,107.09,69.388,17.856,85.63247525,56.8897819,,22,409.4,1146.2,2338.1,1010.5,522.2,1085.28,766.9312401
23,195.2636364,142.213,215.9646465,98.664,157.655,161.9520566,45.9360816,,23,2184.4,2793.8,4655.8,2645,3471.6,3150.12,959.8368257
24,146.22,52.449,113.191,51.74242424,20.44,76.80848485,51.33406234,,24,4345.8,296.5,2480.8,766.5,926.2,1763.16,1660.569277
25,281.197,138.938,77.514,116.562,39.068,130.6558,92.38812011,,25,3636.9,2463.6,3967.5,4536.6,1357.5,3192.42,1275.072679
26,114.545,87.519,42.144,50.18613861,241.281,107.1350277,80.47025501,,26,2140.4,1314.1,1097,2254.6,4889.6,2339.14,1512.044112
27,111.298,107.715,92.51188119,15.3970297,103.156,86.01558218,40.10312071,,27,1340.9,2419.6,2044.8,278.6,713.9,1359.56,891.4788573
28,239.679798,160.829,127.4524752,102.6009901,147.924,155.6972527,51.85751333,,28,3188.3,2277.8,4193.6,1888.3,1201.1,2549.82,1166.224531
29,69.259,186.973,67.742,203.89,96.343,124.8414,65.70943683,,29,1557.6,2053.4,1670.6,2350.3,400.7,1606.52,743.8769569
30,194.894,130.702,175.019802,190.9656566,59.667,150.2496917,56.68288699,,30,2985.2,1409.7,4089.3,1775,1983.9,2448.62,1087.293924
31,105.795,98.342,192.93,74.321,221.98,138.6736,64.67729634,,31,2462.4,1662.4,5772,2140.4,1288.2,2665.08,1793.772971
32,187.763,101.518,130.6383838,132.0574257,49.554,120.3061619,50.38386512,,32,2637.2,2884.6,8996,2227.7,1009.5,3551,3127.998143
33,103.778,90.326,86.692,325.356,123.695,145.9694,101.3235085,,33,1389.8,1848.4,2333.2,9274.9,939.8,3157.22,3459.001021
34,252.382,167.449,208.446,194.4425743,88.713,182.2865149,60.6663416,,34,7347.7,2584.9,1931.9,6786.2,966,3923.34,2933.654869
35,187.947,176.4178218,187.081,184.184,109.445,169.0149644,33.60909926,,35,8149.7,4463.4,2376.1,3591.1,957.3,3907.52,2713.58898
36,343.083,18.72277228,203.3069307,93.031,166.549,164.9385406,122.2292116,,36,6650.8,358,2871.2,1543.8,1322.6,2549.28,2461.886507
37,154.788,133.046,153.261,272.847,117.575,166.3034,61.51170408,,37,5644.2,5568.2,2663.2,4306.8,4089.2,4454.32,1226.75677
38,118.514,174.009,257.2306931,53.551,89.866,138.6341386,79.59085272,,38,1461.9,1279.3,3707.1,1210.5,2175.2,1966.8,1045.423909
39,146.5574257,280.937,97.683,86.518,35.579,129.4548851,93.414451,,39,2581.7,5760.3,3060.3,2619.4,1183.5,3041.04,1675.85607
40,65.20693069,91.01188119,197.905,88.38585859,170.679,122.6377341,57.97587273,,40,862.4,2433.9,1375,1531.4,4345.2,2109.58,1372.273487
41,227.5712871,147.19,101.037,106.351,87.561,133.9420574,56.87080178,,41,3933.3,2126.8,1558.2,1592.5,1053.3,2052.82,1117.727801
42,126.898,250.711,185.252,145.514,394.952,220.6654,108.3659588,,42,1610.4,3323.6,3194.3,2993,3123.6,2848.98,702.6287014
43,143.419,132.5148515,215.2980198,174.798,402.097,213.6253743,110.1587132,,43,1292.7,1183.5,2497.6,1975.4,3828.3,2155.5,1076.677308
44,95.556,167.3841584,12.483,76.63,111.462,92.70303168,56.1936492,,44,4080.6,3115.4,52.9,748.7,1374.8,1874.48,1676.459238
45,111.459,157.719802,97.099,123.9020202,163.57,130.7499644,28.96528063,,45,1879.7,1809.8,2478.5,3098.1,1714.2,2196.06,586.2844898
46,181.890099,216.936,42.022,238.747,98.89009901,155.6970396,82.88942285,,46,3871.8,2993.1,784.2,4733.9,592,2595,1847.606607
47,163.8666667,386.5584158,116.55,166.164,290.7059406,224.7690046,111.1063538,,47,1027.8,5334.1,1514.1,2248.6,2071,2439.12,1688.209521
48,242.0444444,165.6811881,79.894,69.436,171.139,145.6389265,71.54587909,,48,2436.3,4106.7,1915.2,1853.9,4684.6,2999.34,1310.60614
49,27.34343434,152.133,286.102,98.84949495,84.085,129.7025859,98.0741728,,49,609.2,5829.2,3654.2,1931.8,2993.1,3003.5,1955.077525
